id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19776500.0,19776500.0,False,,1,,,,2024-11-02T01:48:00.000Z,69626.81614787517,48642742805.96705,17.8585,0.05148122,-0.30769376,4.64392439,14.24164396,17.38431618,15.03940973,1376974729548.4534,58.9049,1462163139105.38,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
1027,Ethereum,ETH,ethereum,9471,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120410814.6511783,120410814.6511783,True,,2,,,,2024-11-02T01:48:00.000Z,2514.1360155042867,19525851527.34678,-2.3418,-0.03261789,-0.17211516,3.12525884,5.63740543,-0.72709407,-13.08258756,302729165770.7386,12.9503,302729165770.74,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
825,Tether USDt,USDT,tether,102166,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120572829275.28133,122337925860.64384,True,,3,,,,2024-11-02T01:48:00.000Z,0.9995440641375772,74057017057.21114,8.5567,0.00228581,0.09472838,0.11808967,-0.02406264,-0.04279954,-0.01090795,120517855798.38095,5.1556,122282147612.91,,2024-11-02T01:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-02 01:51:11.055604
1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144099925.64460665,144099925.64460665,False,,4,,,,2024-11-02T01:48:00.000Z,574.2086850507084,1687081631.396243,-7.4825,0.02256907,-0.47682303,-0.42963065,5.03856219,8.21978843,8.872984,82743428820.29443,3.5396,82743428820.29,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
5426,Solana,SOL,solana,776,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470836225.4906601,587676162.3407085,True,,5,,,,2024-11-02T01:48:00.000Z,167.53475288982503,3036576274.7572885,10.9287,0.39505986,-0.10965858,2.29838598,18.30626967,24.30136902,17.53996033,78881430689.15567,3.3766,98456180636.99,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
3408,USDC,USDC,usd-coin,22798,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34872893764.38132,34872893764.38132,False,,6,,,,2024-11-02T01:48:00.000Z,1.0000070119386941,8823429872.470966,8.0816,0.00730187,0.00696599,0.00934949,0.00896481,0.00327701,-0.0169887,34873138290.97448,1.4928,34873138290.97,,2024-11-02T01:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-02 01:51:11.055604
52,XRP,XRP,xrp,1413,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56868662755.0,99987041380.0,False,,7,,,,2024-11-02T01:48:00.000Z,0.5147273017574616,1253889761.6185234,21.3547,-0.04082422,1.00879373,1.57857767,-3.89310178,-9.20453458,-6.70217665,29271853334.436203,1.253,51472730175.75,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
74,Dogecoin,DOGE,dogecoin,1090,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146617056383.70523,146617056383.70523,True,,8,,,,2024-11-02T01:48:00.000Z,0.1610855871533623,2406363637.6129303,8.7475,0.01106811,-0.27530519,22.29009862,51.82991464,61.91009809,49.84268748,23617894614.266785,1.0102,23617894614.27,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
1958,TRON,TRX,tron,1061,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86456525101.30026,86456519337.91986,True,,9,71659659264.0,11982168380.68227,,2024-11-02T01:48:00.000Z,0.1672093965244656,375217333.5090432,-3.7238,-0.11689427,-0.49999841,2.68644406,8.46795211,8.5748189,33.34077797,14456343387.790728,0.6188,14456342424.1,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
2010,Cardano,ADA,cardano,1311,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34995041871.64477,44995106472.67438,False,,10,,,,2024-11-02T01:48:00.000Z,0.36084886585360465,375390809.5129951,31.7272,-0.09536399,6.19562379,9.97868943,4.141813,7.66253824,-0.52200991,12627921169.882421,0.5406,16238198963.41,,2024-11-02T01:48:00.000Z,,,,,,2024-11-02 01:51:11.055604
